recruitment_id,department,job_title,num_applicants,time_to_hire_days,cost_per_hire,source,offer_acceptance_rate,source_group,job_level,applicants_per_day,cost_per_day,cost_per_applicant,applicants_efficiency,efficiency_ratio,acceptance_efficiency,high_cost_flag,long_hire_flag,dept_efficiency,cost_index,source_success,is_efficient,high_acceptance,log1p_time_to_hire_days,log1p_cost_per_hire,process_efficiency,cost_intensity,engagement_score,complexity_flag,salary_fit,employer_brand_score,job_match_score,interview_experience
22,Finance,Finance Manager,70,14,5604.18,Linkedin,0.94,External,Executive,5.0,400.29857142857145,80.05971428571429,4.666666666666667,0.0008920320132448,0.00016770201849,1,0,3.443604552403601,1.080856476123505,0.6457707203718048,0,1,2.70805020110221,8.631446449174376,0.001,78.932,0.001,1,0.5,0.5,0.5,0.5
23,Sales,Account Executive,245,87,8440.43,Job Portal,0.69,External,Entry,2.8160919540229883,97.0164367816092,34.45073469387755,2.784090909090909,0.0003336036612307,8.17397052395151e-05,1,1,0.5437902999719653,1.6936055762338147,0.6534822167080231,0,1,4.477336814478207,9.040907004517765,0.0,34.311,0.0,0,0.5,0.5,0.5,0.5
24,Finance,Accountant,17,79,3660.04,Recruiter,0.69,Agency,Entry,0.2151898734177215,46.32962025316456,215.29647058823528,0.2125,5.877834533840699e-05,0.0001884710355527,0,1,0.6102590346031698,0.7058977293504266,0.6583210483210483,0,1,4.382026634673881,8.205502539037058,0.0,203.336,0.0,0,0.5,0.5,0.5,0.5
25,Sales,Account Executive,101,55,1777.5,Referral,0.37,Internal,Entry,1.8363636363636364,32.31818181818182,17.599009900990097,1.8035714285714288,0.001032535078079,0.0002080404835535,0,1,0.8601773835920178,0.356662387076915,0.6462861610633307,0,0,4.02535169073515,7.48352559138851,0.0,17.426,0.001,0,0.5,0.5,0.5,0.5
26,Sales,Business Development Manager,185,53,3145.3,Linkedin,0.52,External,Executive,3.490566037735849,59.34528301886793,17.001621621621624,3.425925925925926,0.0011094193299227,0.0001652734958522,0,1,0.8926369075011505,0.6311168529243436,0.6457707203718048,0,0,3.9889840465642745,8.053982438258092,0.001,16.91,0.001,1,0.5,0.5,0.5,0.5
27,Marketing,Content Strategist,130,65,4652.49,Recruiter,0.72,Agency,Mid,2.0,71.57676923076923,35.788384615384615,1.9696969696969695,0.0004297849570967,0.0001547225845548,0,1,0.7358626576875652,0.8680077902237738,0.6583210483210483,0,1,4.189654742026425,8.445372754703289,0.0,35.515,0.0,1,0.5,0.5,0.5,0.5
28,Sales,Account Executive,28,21,8336.57,Linkedin,0.4,External,Entry,1.3333333333333333,396.9795238095238,297.73464285714283,1.2727272727272727,0.0001599186973342,4.797560920028258e-05,1,0,2.2528455284552846,1.6727656575154977,0.6457707203718048,0,0,3.091042453358316,9.028527085990731,0.0,287.468,0.0,0,0.5,0.5,0.5,0.5
29,Marketing,SEO Analyst,222,17,6441.47,Recruiter,0.71,Agency,Mid,13.058823529411764,378.91,29.015630630630632,12.333333333333334,0.0020269901962153,0.0001102061786861,1,0,2.813592514687749,1.201774993711482,0.6583210483210483,0,1,2.8903717578961645,8.770667285938263,0.001,28.886,0.001,1,0.5,0.5,0.5,0.5
30,Engineering,DevOps Engineer,111,83,2318.84,Linkedin,0.41,External,Mid,1.3373493975903614,27.937831325301207,20.89045045045045,1.3214285714285714,0.0005764834633381,0.0001767363266432,0,1,0.5768128554066827,0.4403786809834563,0.6457707203718048,0,0,4.430816798843313,7.749253496764884,0.0,20.704,0.0,1,0.5,0.5,0.5,0.5
31,Finance,Financial Analyst,24,30,2820.97,Recruiter,0.65,Agency,Mid,0.8,94.03233333333333,117.54041666666666,0.7741935483870968,0.000283489902444,0.0002303355457357,0,0,1.607015457788347,0.544069550487337,0.6583210483210483,1,1,3.4339872044851463,7.945190501597925,0.0,112.839,0.0,1,0.5,0.5,0.5,0.5
32,Finance,Financial Analyst,40,75,7971.68,Recruiter,0.61,Agency,Mid,0.5333333333333333,106.28906666666668,199.292,0.5263157894736842,6.689511347919813e-05,7.651128604183285e-05,1,1,0.6428061831153389,1.5374670252533331,0.6583210483210483,0,0,4.330733340286331,8.983775976239878,0.0,194.431,0.0,1,0.5,0.5,0.5,0.5
33,Sales,Sales Representative,108,34,6813.35,Linkedin,0.48,External,Entry,3.176470588235294,200.3926470588235,63.08657407407408,3.085714285714286,0.0004661443260524,7.043958704792093e-05,1,0,1.3914634146341465,1.3671255555502104,0.6457707203718048,0,0,3.5553480614894135,8.826785961738883,0.0,62.508,0.0,0,0.5,0.5,0.5,0.5
34,Sales,Business Development Manager,209,29,2265.79,Job Portal,0.59,External,Executive,7.206896551724138,78.13068965517242,10.8411004784689,6.966666666666667,0.0031793401910737,0.0002602799553553,0,0,1.6313708999158958,0.4546397018368513,0.6534822167080231,1,0,3.4011973816621555,7.726120012780528,0.002,10.789,0.002,1,0.5,0.5,0.5,0.5
35,Engineering,Software Engineer,213,8,6447.68,Referral,0.82,Internal,Mid,26.625,805.96,30.270798122065727,23.666666666666668,0.0041287519306276,0.0001271578059385,1,0,5.9844333748443335,1.2245005320778544,0.6462861610633307,0,1,2.1972245773362196,8.77163073768312,0.003,30.129,0.003,1,0.5,0.5,0.5,0.5
36,Product,UI Designer,124,83,9254.79,Linkedin,0.52,External,Mid,1.4939759036144578,111.50349397590362,74.63540322580646,1.4761904761904765,0.0001614098746421,5.618104991578244e-05,1,1,0.5573770491803278,1.7486613750813524,0.6457707203718048,0,0,4.430816798843313,9.133004580629963,0.0,74.038,0.0,1,0.5,0.5,0.5,0.5
37,Engineering,DevOps Engineer,231,20,5881.12,Linkedin,0.58,External,Mid,11.55,294.056,25.459393939393937,11.0,0.0019635777576792,9.860390471462668e-05,1,0,2.3937733499377334,1.11690322243252,0.6457707203718048,0,0,3.044522437723423,8.67967252012991,0.001,25.35,0.001,1,0.5,0.5,0.5,0.5
38,Product,Product Analyst,179,30,1319.81,Linkedin,0.73,External,Mid,5.966666666666667,43.99366666666666,7.373240223463687,5.774193548387097,0.0045174299609078,0.0005526911516417,0,0,1.5420765027322405,0.2493736507739364,0.6457707203718048,1,1,3.4339872044851463,7.186000463746246,0.003,7.332,0.003,1,0.5,0.5,0.5,0.5
39,Marketing,Marketing Specialist,91,14,7482.82,Referral,0.87,Internal,Mid,6.5,534.4871428571429,82.22879120879121,6.066666666666666,0.0008685403978182,0.0001162507917079,1,0,3.4165051964065527,1.396058036200456,0.6462861610633307,0,1,2.70805020110221,8.920498635795283,0.001,81.335,0.001,1,0.5,0.5,0.5,0.5
40,Product,UI Designer,246,59,9385.2,Recruiter,0.53,Agency,Mid,4.169491525423729,159.071186440678,38.15121951219513,4.1,0.0004442150737704,5.6465875434148e-05,1,1,0.784106696304529,1.7733019050041663,0.6583210483210483,0,0,4.0943445622221,9.146995804458902,0.0,37.997,0.0,1,0.5,0.5,0.5,0.5
41,HR,HR Coordinator,40,65,5797.19,Recruiter,0.43,Agency,Entry,0.6153846153846154,89.18753846153845,144.92974999999998,0.6060606060606061,0.0001061339168576,7.416107440425375e-05,1,1,0.7043186434690454,1.1141587643428357,0.6583210483210483,0,0,4.189654742026425,8.66530107886534,0.0,141.395,0.0,0,0.5,0.5,0.5,0.5
42,Product,UX Designer,120,7,5864.62,Recruiter,0.98,Agency,Mid,17.142857142857142,837.8028571428571,48.871833333333335,15.0,0.0029225993403693,0.0001670752622911,1,0,6.608899297423887,1.1081001809365312,0.6583210483210483,0,1,2.0794415416798357,8.67686346735043,0.003,48.468,0.002,1,0.5,0.5,0.5,0.5
43,Engineering,Data Engineer,281,74,9129.02,Job Portal,0.31,External,Mid,3.797297297297298,123.36513513513516,32.48761565836299,3.7466666666666666,0.0004159133602442,3.39539234306168e-05,1,1,0.6469657702534415,1.7337228037603252,0.6534822167080231,0,0,4.31748811353631,9.11932316416712,0.0,32.372,0.0,1,0.5,0.5,0.5,0.5
44,Engineering,Software Engineer,245,29,3176.23,Recruiter,0.72,Agency,Mid,8.448275862068966,109.5251724137931,12.964204081632651,8.166666666666666,0.0026590067014566,0.0002266124894955,0,0,1.6508781723708503,0.6032084912715338,0.6583210483210483,1,1,3.4011973816621555,8.063765026990618,0.002,12.912,0.002,1,0.5,0.5,0.5,0.5
45,Finance,Payroll Specialist,69,84,3785.09,Referral,0.58,Internal,Mid,0.8214285714285714,45.06059523809524,54.8563768115942,0.8117647058823529,0.0002169595998585,0.0001531923435523,0,1,0.5739340920672669,0.7300156381861964,0.6462861610633307,0,0,4.442651256490317,8.239089103277532,0.0,54.073,0.0,1,0.5,0.5,0.5,0.5
46,Finance,Financial Analyst,80,26,3810.88,Referral,0.3,Internal,Mid,3.076923076923077,146.5723076923077,47.636,2.962962962962963,0.0008071930587854,7.870132323158126e-05,0,0,1.8542486051404008,0.7349896555302549,0.6462861610633307,1,0,3.295836866004329,8.245877784740301,0.0,47.048,0.001,1,0.5,0.5,0.5,0.5
47,Engineering,Software Engineer,152,23,3350.18,Linkedin,0.63,External,Mid,6.608695652173913,145.66,22.04065789473684,6.333333333333333,0.0019720503381417,0.0001879934828925,0,0,2.081542043424116,0.6362439191393782,0.6457707203718048,1,0,3.1780538303479458,8.117067801603557,0.001,21.897,0.001,1,0.5,0.5,0.5,0.5
48,Engineering,Data Engineer,130,45,1797.79,Recruiter,0.73,Agency,Mid,2.888888888888889,39.95088888888889,13.829153846153844,2.8260869565217392,0.0016060178725081,0.0004058283623991,0,0,1.0638992666389926,0.3414243280628452,0.6583210483210483,1,1,3.828641396489095,7.494869495619369,0.001,13.724,0.001,1,0.5,0.5,0.5,0.5
49,Finance,Accountant,129,85,6359.04,Recruiter,0.87,Agency,Entry,1.5176470588235291,74.81223529411764,49.29488372093023,1.5,0.0002386222506184,0.0001367915925057,1,1,0.5671819262782402,1.226443398664642,0.6583210483210483,0,1,4.454347296253507,8.757789945622566,0.0,48.916,0.0,0,0.5,0.5,0.5,0.5
50,Engineering,Data Engineer,84,35,4908.41,Job Portal,0.53,External,Mid,2.4,140.2402857142857,58.43345238095238,2.3333333333333335,0.0004888571131765,0.0001079559458264,0,0,1.3678704856787047,0.9321726042012416,0.6534822167080231,1,0,3.58351893845611,8.498909050635632,0.0,57.746,0.0,1,0.5,0.5,0.5,0.5
51,Engineering,Backend Developer,211,57,3834.6,Referral,0.94,Internal,Mid,3.701754385964912,67.27368421052631,18.17345971563981,3.6379310344827585,0.0009651043867882,0.000245072478882,0,1,0.8399204736623626,0.7282417459156999,0.6462861610633307,0,1,4.060443010546419,8.252081155279527,0.001,18.088,0.001,1,0.5,0.5,0.5,0.5
52,HR,Talent Acquisition,131,76,8040.26,Linkedin,0.99,External,Mid,1.7236842105263157,105.79289473684211,61.376030534351145,1.7012987012987013,0.0002143549904525,0.000123115034211,1,1,0.602377787177473,1.5452531565456933,0.6457707203718048,0,1,4.343805421853684,8.992341066312187,0.0,60.911,0.0,1,0.5,0.5,0.5,0.5
53,Product,UX Designer,102,65,8976.4,Job Portal,0.72,External,Mid,1.5692307692307692,138.09846153846152,88.00392156862745,1.5454545454545454,0.0001747979113363,8.020139461313966e-05,1,1,0.7117276166456494,1.696060522959489,0.6534822167080231,0,1,4.189654742026425,9.102465587079692,0.0,87.15,0.0,1,0.5,0.5,0.5,0.5
54,Engineering,Backend Developer,169,24,3283.74,Job Portal,0.82,External,Mid,7.041666666666667,136.8225,19.43041420118343,6.76,0.0021437516109849,0.0002496392408531,0,0,1.994811124948111,0.623626075922709,0.6534822167080231,1,1,3.218875824868201,8.09704278014558,0.002,19.316,0.001,1,0.5,0.5,0.5,0.5
55,Sales,Account Executive,283,69,2557.6,Job Portal,0.63,External,Entry,4.101449275362318,37.06666666666666,9.037455830388692,4.042857142857143,0.0016030052666936,0.0002462284061596,0,1,0.6856486390950867,0.5131925295009383,0.6534822167080231,0,0,4.248495242049359,7.847215512882935,0.001,9.006,0.001,0,0.5,0.5,0.5,0.5
56,Sales,Account Executive,115,66,3805.07,Referral,0.77,Internal,Entry,1.7424242424242424,57.65257575757576,33.08756521739131,1.7164179104477613,0.0004578014178468,0.0002023084178693,0,1,0.7168144863266814,0.7635023061573879,0.6462861610633307,0,1,4.204692619390966,8.244352439699576,0.0,32.802,0.0,0,0.5,0.5,0.5,0.5
57,HR,Recruitment Specialist,229,53,6582.56,Job Portal,0.68,External,Mid,4.320754716981132,124.19924528301888,28.744803493449783,4.2407407407407405,0.0006562945757281,0.0001032875830098,1,1,0.8637870155752443,1.2650985935966523,0.6534822167080231,0,1,3.9889840465642745,8.792330911448193,0.0,28.62,0.0,1,0.5,0.5,0.5,0.5
58,Engineering,Backend Developer,57,7,1720.48,Linkedin,0.57,External,Mid,8.142857142857142,245.78285714285715,30.18385964912281,7.125,0.0047301491407725,0.000331110439854,0,0,6.839352428393524,0.3267421266919739,0.6457707203718048,1,0,2.0794415416798357,7.450939664935896,0.002,29.663,0.003,1,0.5,0.5,0.5,0.5
59,HR,HR Coordinator,70,75,2719.4,Referral,0.71,Internal,Entry,0.9333333333333332,36.25866666666667,38.84857142857143,0.9210526315789472,0.0003430868009606,0.0002609910307307,0,1,0.610409491006506,0.5226399934716488,0.6462861610633307,0,1,4.330733340286331,7.908534207301484,0.0,38.301,0.0,0,0.5,0.5,0.5,0.5
60,Engineering,Backend Developer,217,10,1395.59,Linkedin,0.58,External,Mid,21.7,139.559,6.431290322580645,19.727272727272727,0.0155378457528694,0.0004152972597541,0,0,4.787546699875467,0.2650411772238282,0.6457707203718048,1,0,2.3978952727983707,7.2417888301399875,0.008,6.402,0.01,1,0.5,0.5,0.5,0.5
61,Engineering,Backend Developer,66,52,8692.27,Linkedin,0.44,External,Mid,1.2692307692307692,167.15903846153847,131.70106060606062,1.2452830188679245,0.0001460015355822,5.061386566849988e-05,1,1,0.920682057668359,1.650778146552616,0.6457707203718048,0,0,3.970291913552122,9.070304442069869,0.0,129.735,0.0,1,0.5,0.5,0.5,0.5
62,Engineering,Data Engineer,258,43,7969.21,Referral,0.94,Internal,Mid,6.0,185.33046511627907,30.88841085271318,5.863636363636363,0.0007528032511063,0.0001179391760066,1,0,1.1133829534594109,1.5134593970606725,0.6462861610633307,0,1,3.784189633918261,8.983466120245167,0.001,30.769,0.0,1,0.5,0.5,0.5,0.5
63,Sales,Account Executive,39,69,3723.03,Recruiter,0.58,Agency,Entry,0.5652173913043478,53.95695652173913,95.4623076923077,0.5571428571428572,0.0001517757352396,0.0001557452544689,0,1,0.6856486390950867,0.7470406565169997,0.6583210483210483,0,0,4.248495242049359,8.22256169421843,0.0,93.076,0.0,0,0.5,0.5,0.5,0.5
64,Sales,Sales Representative,174,8,8484.45,Job Portal,0.34,External,Entry,21.75,1060.55625,48.76120689655173,19.333333333333332,0.0025632111437814,4.006858799474394e-05,1,0,5.913719512195122,1.7024383628887378,0.6534822167080231,0,0,2.1972245773362196,9.046108211029267,0.001,48.483,0.002,0,0.5,0.5,0.5,0.5
65,Marketing,Marketing Specialist,92,41,887.08,Referral,0.96,Internal,Mid,2.2439024390243905,21.63609756097561,9.64217391304348,2.1904761904761907,0.0025266895313759,0.0010809836951625,0,0,1.1666115304802862,0.1655011296212792,0.6462861610633307,1,1,3.737669618283368,6.789061829024392,0.002,9.538,0.002,1,0.5,0.5,0.5,0.5
66,HR,HR Manager,15,25,5287.2,Recruiter,0.4,Agency,Executive,0.6,211.488,352.47999999999996,0.5769230769230769,0.000113460156575,7.564010438334405e-05,1,0,1.831228473019518,1.016144066148158,0.6583210483210483,0,0,3.258096538021482,8.57323320229891,0.0,330.45,0.0,1,0.5,0.5,0.5,0.5
67,Product,Product Manager,163,81,5047.87,Linkedin,0.5,External,Executive,2.0123456790123457,62.31938271604938,30.968527607361963,1.9878048780487805,0.0003985734786224,9.903206063931136e-05,0,1,0.5711394454563853,0.9537780214820548,0.6457707203718048,0,0,4.406719247264253,8.526919734854632,0.0,30.78,0.0,1,0.5,0.5,0.5,0.5
68,Finance,Finance Manager,166,31,2819.48,Referral,0.82,Internal,Executive,5.354838709677419,90.95096774193549,16.984819277108432,5.1875,0.001898555816626,0.0002907306557749,0,0,1.555176249472594,0.5437821799622247,0.6462861610633307,1,1,3.4657359027997265,7.944662362213568,0.002,16.883,0.001,1,0.5,0.5,0.5,0.5
69,HR,HR Manager,29,48,5029.37,Linkedin,0.85,External,Executive,0.6041666666666666,104.77854166666668,173.42655172413794,0.5918367346938775,0.0001201038227141,0.0001689736540254,0,1,0.9537648296976656,0.966591859956794,0.6457707203718048,0,1,3.8918202981106265,8.523248819036592,0.0,167.646,0.0,1,0.5,0.5,0.5,0.5
70,HR,HR Coordinator,261,48,3643.03,Job Portal,0.98,External,Entry,5.4375,75.89645833333334,13.957969348659004,5.326530612244898,0.0014921666396818,0.0002689330219564,0,1,0.9537648296976656,0.7001519362421933,0.6534822167080231,0,1,3.8918202981106265,8.200845491057267,0.001,13.905,0.001,0,0.5,0.5,0.5,0.5
71,Sales,Business Development Manager,46,71,5151.87,Referral,0.49,Internal,Executive,0.647887323943662,72.56154929577464,111.99717391304348,0.6388888888888888,0.0001257332950265,9.509263769510972e-05,0,1,0.666334592923394,1.0337430391617135,0.6462861610633307,0,0,4.276666119016055,8.547309119987482,0.0,109.614,0.0,1,0.5,0.5,0.5,0.5
72,Engineering,Data Engineer,21,13,1683.99,Referral,1.0,Internal,Mid,1.6153846153846154,129.5376923076923,80.19,1.5,0.0009586909212426,0.0005934753321978,0,0,3.682728230673436,0.3198121884171959,0.6462861610633307,1,1,2.6390573296152584,7.42951490805075,0.001,76.545,0.001,1,0.5,0.5,0.5,0.5
73,Product,UI Designer,113,82,4733.63,Recruiter,0.89,Agency,Mid,1.3780487804878048,57.72719512195122,41.89053097345133,1.3614457831325302,0.0002910573329885,0.0001879766739956,0,1,0.5641743302678928,0.894403432700941,0.6583210483210483,0,1,4.418840607796598,8.462658861067501,0.0,41.523,0.0,1,0.5,0.5,0.5,0.5
74,HR,Recruitment Specialist,229,41,7295.83,Referral,0.3,Internal,Mid,5.585365853658536,177.9470731707317,31.85951965065502,5.4523809523809526,0.0007654510045675,4.111374391345283e-05,1,0,1.1166027274509256,1.4021815634221737,0.6462861610633307,0,0,3.737669618283368,8.895195286248791,0.0,31.721,0.0,1,0.5,0.5,0.5,0.5
75,HR,HR Coordinator,27,72,9171.65,Recruiter,0.82,Agency,Entry,0.375,127.38402777777776,339.69074074074075,0.3698630136986301,4.088240584781933e-05,8.939619412056494e-05,1,1,0.6358432197984437,1.7626943796882573,0.6583210483210483,0,1,4.290459441148391,9.123981509325487,0.0,327.559,0.0,0,0.5,0.5,0.5,0.5
76,HR,HR Manager,207,88,6989.4,Job Portal,0.68,External,Executive,2.352272727272727,79.425,33.76521739130435,2.3258426966292136,0.0003365004473667,9.72762645914397e-05,1,1,0.5202353616532721,1.3432889499046634,0.6534822167080231,0,1,4.48863636973214,8.852293058197171,0.0,33.603,0.0,1,0.5,0.5,0.5,0.5
77,Marketing,SEO Analyst,203,46,8676.1,Referral,0.81,Internal,Mid,4.413043478260869,188.6108695652174,42.73940886699508,4.319148936170213,0.0005085850662388,9.334916043378548e-05,1,0,1.0398059293411246,1.618686421413154,0.6462861610633307,0,1,3.8501476017100584,9.068442650447606,0.0,42.53,0.0,1,0.5,0.5,0.5,0.5
78,Sales,Sales Associate,39,15,1250.63,Linkedin,0.48,External,Entry,2.6,83.37533333333334,32.0674358974359,2.4375,0.0020772912122592,0.0003834999161093,0,0,3.1539837398373987,0.2509438431223641,0.6457707203718048,1,0,2.772588722239781,7.132201980826739,0.001,31.266,0.001,0,0.5,0.5,0.5,0.5
79,Sales,Account Executive,149,9,6387.78,Referral,0.33,Internal,Entry,16.555555555555557,709.7533333333333,42.87100671140939,14.9,0.0025913485134181,5.165305426075088e-05,1,0,5.256639566395664,1.2817332562150077,0.6462861610633307,0,0,2.302585092994046,8.76229860582572,0.001,42.585,0.002,0,0.5,0.5,0.5,0.5
80,Marketing,Marketing Specialist,206,57,1278.35,Referral,0.89,Internal,Mid,3.6140350877192984,22.427192982456138,6.205582524271844,3.5517241379310347,0.0028248994315232,0.0006956657677726,0,1,0.8391416271875743,0.2384997621988572,0.6462861610633307,0,1,4.060443010546419,7.154107415433228,0.002,6.176,0.002,1,0.5,0.5,0.5,0.5
